episode,timestep,reward
1,800,-80.0
3,1600,-48.2
5,2400,-40.8
7,3200,-35.2
9,4000,-56.6
11,4800,-38.8
13,5600,-41.4
15,6400,-19.0
17,7200,-37.8
19,8000,-42.0
21,8800,-34.6
23,9600,-42.2
25,10400,-33.4
27,11200,-49.0
29,12000,-40.2
31,12800,-60.0
33,13600,-35.2
35,14400,-34.6
37,15200,-75.0
39,16000,-41.4
41,16800,-62.0
43,17600,-38.2
45,18400,-72.0
47,19200,-51.4
49,20000,-43.2
51,20800,-57.0
53,21600,-37.8
55,22400,-35.2
57,23200,-31.4
59,24000,-49.8
61,24800,-40.8
63,25600,-32.0
65,26400,-24.6
67,27200,-34.6
69,28000,-46.4
71,28800,-60.0
73,29600,-24.0
75,30400,-50.0
77,31200,-41.4
79,32000,-34.0
81,32800,-36.0
83,33600,-56.4
85,34400,-70.0
87,35200,-47.0
89,36000,-46.4
91,36800,-43.2
93,37600,-44.6
95,38400,-47.6
97,39200,-54.0
99,40000,-39.0
101,40800,-60.0
103,41600,-58.4
105,42400,-32.0
107,43200,-67.0
109,44000,-62.0
111,44800,-29.6
113,45600,-25.8
115,46400,-40.2
117,47200,-42.6
119,48000,-49.6
121,48800,-67.6
123,49600,-36.4
125,50400,-41.4
127,51200,-64.0
129,52000,-32.0
131,52800,-63.8
133,53600,-37.8
135,54400,-62.0
137,55200,-48.2
139,56000,-48.8
141,56800,-22.2
143,57600,-44.6
145,58400,-73.2
147,59200,-51.0
